course_code,course_title_2025,course_teacher,link,fas_code,unique_code,course_id,num_responded,num_students,course_score_mean,course_score_median,course_score_mode,course_score_stdev,lecturer_score_mean,lecturer_score_median,lecturer_score_mode,lecturer_score_stdev,workload_score_mean,workload_score_median,workload_score_mode,workload_score_stdev,rec_score_mean,rec_score_median,rec_score_mode,rec_score_stdev,sentiment_score_mean,sentiment_score_median,sentiment_score_mode,sentiment_score_stdev,gem_probability_mean,gem_probability_median,gem_probability_mode,gem_probability_stdev,best_comment,max_sent_score,worse_comment,min_sent_score,best_gem_comment,max_gem_probability,course_title_2026,subject_catalog,instructors,year_term,term_type,start_date,end_date,start_time,end_time,weekdays,class_number,consent,enrolled,waitlist,lecture_sunday,lecture_monday,lecture_tuesday,lecture_wednesday,lecture_thursday,lecture_friday,lecture_saturday,description,notes,school,units,cross_registration,department,course_component,instruction_mode,grading_basis,course_requirements,general_education,quantitative_reasoning,divisional_distribution
AFRAMER 97,Sophomore Tutorial: Understanding Race and Racism 001,Martin,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e03fd904bcf621e9eae3431c3838853d48dcdf6b35f0a430d0b4ed700c3c6c93ecf3b6109d630a14375aa94f7bf72c79&ReportType=2&regl=en-US,FAS-123590-2252-1-1-001,FAS-123590-2252-1-1-001(Martin),123590,7,8,4.83,5.0,5.0,0.3775251680686369,5.0,5.0,5.0,0.0,3.6,3.0,3.0,0.89,4.83,5.0,5.0,0.41,0.9062,0.9062,0.94,0.0478004184082106,0.0,0.0,0.0,0.0,Great class! Pretty much just an open discussion about the readings every class so it's super chill and just a good class to get to know other people in the concentration.,0.94,,0.0,,0.0,Sophomore Tutorial: Understanding Race and Racism,AFRAMER   97,Carla Martin,2026 Spring,Full Term,,,,,,11462,Instructor,,,False,False,False,True,False,False,False,"This course will examine the history of race and racism – key analytical constructs that express fundamental issues not only of power and inequality, but also of justice, democracy, equity, and emancipation. The study of race in the social sciences and humanities is an established, dynamic, multidisciplinary, and international field. To understand race and racism with a global perspective, it is necessary to have a transdisciplinary, cross-cultural view to read critically the phenomena that intersect with this variable. Course readings are drawn from the fields of African and African American Studies, sociology, history, cultural studies, political science, anthropology, philosophy, journalism, and public health. The vast literature produced by scholars in diverse fields provides evidence of how race is based on narratives created to enslave, subordinate, exploit, and exclude millions of human beings across the globe. Assignments will address pressing real-world questions related to race and racism, as well as pedagogically significant areas of undergraduate intellectual and academic development.",Required for concentrators in African and African American Studies. Open to all undergraduates.,Faculty of Arts & Sciences,,,African & African Amer Studies,Tutorial,,FAS Letter Graded,,,,Social Sciences
AFRAMER 119X,"Chocolate, Culture, and the Politics of Food 001",Martin,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b041430d423d9c2f3e5dbd639e69b2b7795621e6931e0df7430925b40544e8eefa6e344dadfc35bb9205fc609fede5bb&ReportType=2&regl=en-US,FAS-108879-2252-1-1-001,FAS-108879-2252-1-1-001(Martin),108879,25,35,4.71,5.0,5.0,0.6410078697714334,4.88,5.0,5.0,0.3265986323710904,3.25,3.0,2.0,2.02,4.71,5.0,5.0,0.64,0.6511090909090909,0.8316,0.0,0.368368715975028,0.0909090909090909,0.0,0.0,0.3015113445777636,"This is a PHENOMENAL class and I would highly recommend taking it. Carla is probably the best lecturer I've had at Harvard and she makes every lecture so captivating and entertaining. Sections are also super fun and we get to engage more critically with the readings and participate in meaningful discussions. Of course, getting to taste chocolate most weeks is also a huge plus (especially when they are so delicious)! The exams are very reasonable and the teaching staff goes out of their way to make sure that we are prepared. The projects were also super interesting and allowed us to delve into a topic of our choice. Overall, the class is so well executed and I was so impressed with the team. TAKE IT!!",0.9911,,0.0,"TAKE THIS CLASS!! Truly a gem, but genuinely an interesting and worthwhile course. I had never taken a class related to chocolate before, or even thought to much about chocolate and its history (like most people), but this course changed the way I'll go about consuming chocolate. Definitely engage with the course readings if you can! Professor Martin is so amazing and knowledgeable. One regret I do have is not attending her office hours. This course is a great fifth class, and you'll love the lectures (most days)! We also get to try chocolates in class some days!",0.9872,"Chocolate, Culture, and the Politics of Food",AFRAMER  119X,Carla Martin,2026 Spring,Full Term,,,,,,12974,Instructor,,,False,False,False,False,True,False,False,"This course will examine the sociohistorical legacy of chocolate, with a delicious emphasis on the eating and appreciation of the so-called “food of the gods.” Interdisciplinary course readings will introduce the history of cacao cultivation, the present day state of the global chocolate industry, the diverse cultural constructions surrounding chocolate, and the implications for chocolate’s future of scientific study, international politics, alternative trade models, and the food movement. Assignments will address pressing real world questions related to chocolate consumption, social justice, responsible development, honesty and the politics of representation in production and marketing, hierarchies of quality, and myths of purity.",,Faculty of Arts & Sciences,,,African & African Amer Studies,Lecture,,FAS Letter Graded,,,,Social Sciences
AFRAMER 123Z,American Democracy 001,Mangabeira Unger,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=36ac5577a158b9c93a570453904283fd44dd0617d19d5e25b42a5f8940d19c572aeb93c37a2b6423956d1e88776a373b&ReportType=2&regl=en-US,FAS-111438-2252-1-1-001,FAS-111438-2252-1-1-001(Mangabeira Unger),111438,8,15,4.0,4.0,3.0,0.8206518066482898,3.67,4.0,2.0,1.2535663410560174,6.2,6.0,6.0,2.28,4.0,4.0,3.0,1.0,0.6546000000000001,0.6428,0.4823,0.178492772962941,0.0,0.0,0.0,0.0,"if you are an undergraduate, go to section its super helpful and you learn so much and you really get the chance to speak your mind and explore why you think the way that you do",0.8387,,0.0,,0.0,American Democracy,AFRAMER  123Z,"John Stauffer, Roberto Mangabeira Unger",2026 Spring,Full Term,,,,,,13670,No Consent,,,False,False,False,False,False,False,False,"Democracy, inequality, and nationalism in America.  The white working class and American politics. Class and race. Identities and interests.  Conditions for socially inclusive economic growth and for the deepening and dissemination of the knowledge economy. Alternative directions of institutional change, viewed in light of American history. Democratizing the market and deepening democracy. Self-reliance and solidarity. We explore and discuss the past, present, and especially the future of the American experiment among ourselves and with invited guests: thinkers, politicians, social activists, and entrepreneurs.Readings drawn from classic and contemporary writings about the United States. Extended take-home examination.",,Faculty of Arts & Sciences,,,African & African Amer Studies,Lecture,,FAS Letter Graded,,,,Social Sciences
AFRAMER 123Z,American Democracy 001,Stauffer,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=4ae00e125515a311e5ca9e62876cf298a193cd0ebeaa70f1bb9aa414deed71cfc9b5913cd54dd7c0fbb692c0f3a3ce55&ReportType=2&regl=en-US,FAS-111438-2252-1-1-001,FAS-111438-2252-1-1-001(Stauffer),111438,8,15,4.0,4.0,3.0,0.8206518066482898,4.4,5.0,5.0,0.8040302522073697,6.2,6.0,6.0,2.28,4.0,4.0,3.0,1.0,0.6546000000000001,0.6428,0.4823,0.178492772962941,0.0,0.0,0.0,0.0,"if you are an undergraduate, go to section its super helpful and you learn so much and you really get the chance to speak your mind and explore why you think the way that you do",0.8387,,0.0,,0.0,American Democracy,AFRAMER  123Z,"John Stauffer, Roberto Mangabeira Unger",2026 Spring,Full Term,,,,,,13670,No Consent,,,False,False,False,False,False,False,False,"Democracy, inequality, and nationalism in America.  The white working class and American politics. Class and race. Identities and interests.  Conditions for socially inclusive economic growth and for the deepening and dissemination of the knowledge economy. Alternative directions of institutional change, viewed in light of American history. Democratizing the market and deepening democracy. Self-reliance and solidarity. We explore and discuss the past, present, and especially the future of the American experiment among ourselves and with invited guests: thinkers, politicians, social activists, and entrepreneurs.Readings drawn from classic and contemporary writings about the United States. Extended take-home examination.",,Faculty of Arts & Sciences,,,African & African Amer Studies,Lecture,,FAS Letter Graded,,,,Social Sciences
AFRAMER 186,"Religion, Culture, and Society in Africa 001",Olupona,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=617f7f4614d945b4b118c9a6dc858423b0a9a1132cead3fe9a1101158f2ee59ec0bc79bde37aed56a6f8c5323393f181&ReportType=2&regl=en-US,FAS-222688-2252-1-1-001,FAS-222688-2252-1-1-001(Olupona),222688,8,9,4.17,4.5,5.0,0.8995509541943242,4.4,4.0,4.0,0.4923659639173309,6.2,6.0,6.0,2.28,4.0,4.0,3.0,1.0,0.52255,0.4019,0.4019,0.2997085751192314,0.0,0.0,0.0,0.0,This was for sure one of my favorite classes I have ever taken at Harvard. I am a graduating senior who took this for an elective and I was genuinely not disappointed. For undergrads I would say for sure this is a class worth taking if you have any interest at all in African religion or just religion in general. Olupona is super interesting and has stories for days about how over the years he has directly interacted with the course material. I also think the course assignments are very doable and provide interesting opportunities to dig a little deeper into whatever interests you. They are quite open ended generally so maybe if you are someone that needs extreme guidance in your work then maybe you might find it challenging – but generally it does give you the freedom to write about what is interesting to you. Be warned there is a 20 page paper final so... do with that what you may.,0.9682,,0.0,,0.0,"Religion, Culture, and Society in Africa",AFRAMER  186,Jacob Olupona,2026 Spring,Full Term,,,,,,14860,No Consent,,,False,False,False,False,True,False,False,"Exploring the meaning of religion  and its  impact of on African culture and society broadly, this course will highlight both religious traditions and innovations. Instead of treating each of the religions of Africa, the triple heritage in the words of Ali Mazrui of indigenous African religions, Islam, and Christianity, as distinct and bounded entities, we will explore the hybridity, interaction, and integration between categories throughout Africa. Using case studies, a unique perspective on religious diversity on the African continent and diaspora will emerge.",,Faculty of Arts & Sciences,,,African & African Amer Studies,Seminar,,FAS Letter Graded,,,,Arts and Humanities
AFRAMER 191X,African American Lives in the Law 001,Higginbotham,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=c3b21d14e566004cf95be3730e3f41ba7d53cb2c201ba332e0deb49f0a1b4428f8f80761197a5da368adec2d6c037b7c&ReportType=2&regl=en-US,FAS-127960-2252-1-1-001,FAS-127960-2252-1-1-001(Higginbotham),127960,9,12,4.5,4.5,4.0,0.502518907629606,5.0,5.0,5.0,0.0,7.67,7.0,7.0,3.39,4.5,4.5,4.0,0.55,0.5055999999999999,0.6486,0.8682,0.4514194944837894,0.0,0.0,0.0,0.0,really amazing class! I learned a ton! Great for people thinking about entering a career in law.,0.8682,,0.0,,0.0,African American Lives in the Law,AFRAMER  191X,Evelyn Brooks Higginbotham,2026 Spring,Full Term,,,,,,21259,No Consent,,,False,False,False,False,True,False,False,"This seminar focuses on biographical and autobiographical writings in a historical examination of the role of the individual in the American legal process. We will seek to understand how specific African Americans (as lawyers, judges, and litigants) made a difference-how their lives serve as a ""mirror to America""-and also to understand the ways personal experience informs individual perspectives on the law and justice.",,Faculty of Arts & Sciences,,,African & African Amer Studies,Lecture,,FAS Letter Graded,,,,Social Sciences
AFRAMER 223,Storied Lives: Methods in Oral History 001,Henry,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=ea4b6fdffd31e0120d2c01dd51ea0e7c50548353ccfc32b70e5c18d40c3a4ee5b3fa1767016828fabc83d703435e322b&ReportType=2&regl=en-US,FAS-225837-2252-1-1-001,FAS-225837-2252-1-1-001(Henry),225837,21,28,4.85,5.0,5.0,0.3588702812826367,4.95,5.0,5.0,0.2190429135575903,6.47,6.0,10.0,2.89,4.95,5.0,5.0,0.23,0.3920363636363636,0.3612,0.0,0.4214054301328526,0.0,0.0,0.0,0.0,"Take it! It's beautiful. A strong emphasis on method with rich thought–provoking readings and a professor who is thoughtful, warm, capable, and invested in your well–being. You won't be disappointed.",0.9625,"This course is incredible, it offered practical tools while pushing my critical and theoretical thinking. I highly recommend it especially for working with stories which are often missing from formal archives.",-0.1796,,0.0,Storied Lives: Methods in Oral History,AFRAMER  223,Amber Henry,2026 Spring,Full Term,,,,,,14966,Instructor,,,False,False,True,False,False,False,False,"How can we understand the lives of people who are excluded from the historical record? How might attention to the time and space in which words are spoken allow us to treat oral history as text, and text as oral history? This course explores storytelling as a foundational element of the human experience. It analyzes the myriad ways in which orality has been used to consolidate origin stories, document events, communicate embodied experience, and transfer ancestral knowledge. By centering methodology, students will learn to prepare, collect, analyze, and share oral histories in a variety of written, digital, and artistic forms. Topics of discussion include how to build relationships, conduct interviews around difficult topics, and use citational practices that honor nonhuman and other-than-human actors. Required readings pair classic and new oral histories with texts on the theory, practice, and ethics of storytelling. By centering works by Black, Indigenous, gender minorities, and writers of color, the course examines how storytelling is used to establish and redistribute power. At the end of the semester, students will become familiar with audio-visual recording technology, learn to navigate transcription and coding software, and be able to conduct, transcribe and analyze an oral history.",,Faculty of Arts & Sciences,,,African & African Amer Studies,Seminar,,FAS Letter Graded,,,,Social Sciences
AFRIKAAN AB,Elementary Afrikaans 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0247480282e64c347bf1a42807bfd66c09fc1c507f65b0263af8570c751ac0a28f9fe74b79f1b29a06f41b3c709690c7&ReportType=2&regl=en-US,FAS-205831-2252-1-1-001,FAS-205831-2252-1-1-001(Mugane),205831,10,10,4.89,5.0,5.0,0.3144660377352201,0.0,0.0,0.0,-1.0,4.0,4.0,6.0,1.58,4.89,5.0,5.0,0.33,0.8058333333333333,0.8316,0.8316,0.1576373792389778,0.0,0.0,0.0,0.0,"Absolutely the best language class I’ve ever taken. It completely flips the traditional model of memorizing useless essays and rigid grammar rules, instead prioritizing real communication (ie what language is actually for). The environment is supportive, and the small class size makes a huge difference. Adriaan is brilliant at keeping lessons active and engaging without being overly strict. I couldn’t recommend a class more highly! Baie dankie!",0.949,,0.0,,0.0,Elementary Afrikaans,AFRIKAAN     AB,John Mugane,2026 Spring,Full Term,,,,,,11657,Department,,0.0,False,False,False,False,False,False,False,"A study of Afrikaans a major language spoken in South Africa at the Elementary level (First year part 2). Contact hours supplemented by digital resources. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year.","Languages in the tutorial program are offered when there is demonstrated curricular or academic need on the part of the student, and when suitable instruction can be arranged.  Please contact the department to learn more.",Faculty of Arts & Sciences,,,African & African Amer Studies,Seminar,,FAS Letter Graded,,,,None
IGBO AB,Elementary Igbo 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=531d1a66f3355bc85fae486b6d7e0a265e5a062a030a84df9b1e9f0ebdb80d6d90ca23f79b6045206d87cbf122e87ecf&ReportType=2&regl=en-US,FAS-205854-2252-1-1-001,FAS-205854-2252-1-1-001(Mugane),205854,5,9,4.33,5.0,5.0,0.9451631252505216,0.0,0.0,0.0,-1.0,6.0,6.0,8.0,2.0,4.0,4.0,3.0,1.0,0.9669,0.9669,0.9669,-1.0,0.0,0.0,0.0,-1.0,"Take this class! The professor is amazing and very supportive of students who are interested in learning Igbo. The theatre presentations were super fun as our class got to prepare a short skit for other classes and professors in the African Languages Department. Exams were very reasonable and homework assignments were very manageable. If you are at all interested in getting more immersed in the Igbo culture and language, then there is more than enough room for Igbo AB to fit in your course schedule.",0.9669,,0.0,,0.0,Elementary Igbo,IGBO     AB,John Mugane,2026 Spring,Full Term,,,,,,11644,Department,,0.0,False,False,False,False,False,False,False,"A study of Igbo one of the three most widely spoken languages in Nigeria at the Elementary level (First year part 2). Contact hours supplemented by language digital resources. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year. This course is offered only in the Spring.","Languages in the tutorial program are offered when there is demonstrated curricular or academic need on the part of the student, and when suitable instruction can be arranged.  Please contact the department to learn more.",Faculty of Arts & Sciences,,,African & African Amer Studies,Seminar,,FAS Letter Graded,,,,None
SWAHILI AB,Elementary Swahili 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b5e605e3f34dda928c75bb10ae9addc619e551806428fe43a96e665009fe41a77ffa6a66d7d50a99b1c5986e3e6f55f3&ReportType=2&regl=en-US,FAS-159829-2252-1-1-001,FAS-159829-2252-1-1-001(Mugane),159829,8,11,4.43,4.0,4.0,0.497569851956243,0.0,0.0,0.0,-1.0,4.33,3.5,2.0,2.58,4.17,4.5,5.0,0.98,0.8908,0.8908,0.8908,-1.0,0.0,0.0,0.0,-1.0,This class is a good way to fulfill your language requirement. Professor Mugane is super nice. Sometimes the class can be a little disorganized.,0.8908,,0.0,,0.0,Elementary Swahili,SWAHILI     AB,John Mugane,2026 Spring,Full Term,,,,,,11480,Department,,0.0,False,False,False,False,False,False,False,"A study of the lingua franca of East Africa at the elementary level. Contact hours supplemented by language lab sessions. Emphasis on written expression, reading comprehension, and oral fluency.  Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year.","Languages in the tutorial program are offered when there is demonstrated curricular or academic need on the part of the student, and when suitable instruction can be arranged.  Please contact the department to learn more.",Faculty of Arts & Sciences,,,African & African Amer Studies,Seminar,,FAS Letter Graded,,,,None
