course_code,course_title_2024,course_teacher,link,fas_code,unique_code,course_id,num_responded,num_students,course_score_mean,course_score_median,course_score_mode,course_score_stdev,lecturer_score_mean,lecturer_score_median,lecturer_score_mode,lecturer_score_stdev,workload_score_mean,workload_score_median,workload_score_mode,workload_score_stdev,rec_score_mean,rec_score_median,rec_score_mode,rec_score_stdev,sentiment_score_mean,sentiment_score_median,sentiment_score_mode,sentiment_score_stdev,gem_probability_mean,gem_probability_median,gem_probability_mode,gem_probability_stdev,best_comment,max_sent_score,worse_comment,min_sent_score,best_gem_comment,max_gem_probability,course_title_2025,subject_catalog,instructors,year_term,term_type,start_date,end_date,start_time,end_time,weekdays,class_number,consent,enrolled,waitlist,lecture_sunday,lecture_monday,lecture_tuesday,lecture_wednesday,lecture_thursday,lecture_friday,lecture_saturday,description,notes,school,units,cross_registration,department,course_component,instruction_mode,grading_basis,course_requirements,general_education,quantitative_reasoning,divisional_distribution
AFRAMER 133Y,The Politics of Paradise: Tourism in Latin America & the Caribbean 001,Henry,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=d3a164a79d4c6a0bb18b5b6ca773152a9c92c2f711fb187a73ec6d32dcdebb17fd6f217ebaca05e0ef92f8e94aea695d&ReportType=2&regl=en-US,FAS-224623-2248-1-1-001,FAS-224623-2248-1-1-001(Henry),224623,7,7,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,4.43,4.0,4.0,1.72,5.0,5.0,5.0,0.0,0.9111666666666668,0.9286,0.9748,0.0650038665516649,0.0,0.0,0.0,0.0,"TAKE THIS CLASS! The best course I have taken at Harvard. Politics of Paradise offers an incredibly engaging and thoughtful exploration of tourism, colonialism, and the erasure of indigenous and local perspectives. The readings and lectures were consistently captivating, and the experiential learning component, with its mini excursions, brought the material to life in ways I never expected.This course fundamentally shifted how I think about Latin America and the Caribbean, encouraging me to critically examine the complexities of these regions and the forces that shape their narratives. The weekly discussion posts were a highlight—this was the first time I genuinely looked forward to reading my classmates’ contributions, as they always added depth to the topics we explored.Professor Henry’s teaching approach was exceptional. Her dedication and enthusiasm made every class feel collaborative and inspiring. Thanks to her, I will NEVER look at the word ""Paradise"" the same. I cannot recommend this course enough—it’s rigorous, eye–opening, and transformative.",0.9748,,0.0,,0.0,The Politics of Paradise: Tourism in Latin America & the Caribbean,AFRAMER  133Y,Amber Henry,2025 Fall,Full Term,2025-09-02,2025-12-03,12:00pm,2:45pm,Tue,15920,Instructor,0/30,0,False,False,True,False,False,False,False,"What does tourism sell? How do destination images condition our perceptions of native people, public space and collective memory? This seminar explores tourism beyond its facile association with leisure to consider its implications for development, environmental protection, heritage conservation, and the commodification of history. Treating tourism as an enterprise that trades in everything from sensory fantasies to cheap cosmetic surgeries and pictures of tropical paradise, this course contemplates the role of the imaginary in the political and the political in the imaginary. Through careful analysis of travel journals, audiovisual material and first hand accounts from culture brokers and travelers alike, we’ll explore the industry’s colonial past in relation to Black, Indigenous and queer people’s efforts to bend tourism towards a more libratory future. While geographically situated in Latin America and the Caribbean, the course draws from comparative contexts in continental Africa and the United States to critically analyze tourism in relation to colonialism, the plantation economy, African diasporic kinship and the afterlives of slavery. Readings include classic texts such as Jamaica Kincaid’s (1988) A Small Place, Kamala Kempadoo’s Sun, Sex and Gold (1999) Paulla Ebron’s Performing Africa (2002), Mimi Sheller´s Consuming the Caribbean (2003) and Saidiya Hartman’s Loose Your Mother (2008). These works will be paired with Florence Babb’s The Tourism Encounter (2010) Jemima Pierre’s Predicament of Blackness (2009) Krista Thompson’s An Eye for the Tropics (2016), and recent ethnographies such as Christen Smith’s Afro-Paradise (2016), Megan Rivers-Moore’s Gringo Gluch (2016) Patricia Pinho’s Mapping Diaspora (2018), Bianca Williams’s The Pursuit of Happiness (2018), Corinna Campbell’s The Cultural Work (2020), and Anadelia A. Romo’s Selling Black Brazil (2022).",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,African & African Amer Studies,Lecture,,FAS Letter Graded,,,,Social Sciences
AFRAMER 146X,A Black History of Electronic Dance Music 001,aumoithe,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=149b702e6d396eb5be53cb55b2f1d54b69f1d15006c79614b244d6c1970c3c3fceed2d95abe36fe94d33c791043a4c0f&ReportType=2&regl=en-US,FAS-222657-2248-1-1-001,FAS-222657-2248-1-1-001(aumoithe),222657,8,11,4.38,5.0,5.0,0.8585043406822688,4.63,5.0,5.0,0.4868569635635265,6.0,4.0,3.0,4.38,4.63,5.0,5.0,0.52,0.89464,0.8803,0.9449,0.0794401535748767,0.0,0.0,0.0,0.0,"This course was awesome. I added new music to my playlists every week. I had never really thought about EDM as a Black genre, but this class showed me otherwise. Whether it was a discussion about repetition and Blackness or an intellectual conversation about sipping lean, I was always excited for our time together. And the meditation at the beginning of  class was always a treat! Professor Aumoithe is a wonderful and calming person and presence. He does an amazing job facilitating discussion and asks questions that really make you think. His feedback is also easy to understand and incorporate.Workload–wise, the class is less demanding than it previously was. However, it is not necessarily an easy class. You definitely need to stay on top of the weekly discussion posts and other assignments because they will creep up on you. Formatting assignments is a bit tedious, but you should get the hang of it after the first couple times. Overall, loved the course! Would take it again if I could.",0.9935,,0.0,,0.0,A Black History of Electronic Dance Music,AFRAMER  146X,george aumoithe,2025 Fall,Full Term,2025-09-02,2025-12-03,12:00pm,2:45pm,Wed,15947,No Consent,0,0,False,False,False,True,False,False,False,"Electronic dance music. Mentioning the genre elicits questions over origins and boundaries. While oft forgotten, Black queer, femme, and non-binary people invented the modern-day genre’s arrangement, composition, production, and distribution, undergirding distressed communities’ sonic landscapes, enlivening social movements, and seeding multibillion-dollar markets. From disco to house to techno, each seminar will crisscross wide-ranging geographies including Chicago, Detroit, New York, and Manchester, United Kingdom. We will pair essential LPs, EPs, singles, and bootleg recordings with thematically linked texts in history, musicology, and theory to ask how Black electronic musicians responded to history’s unfolding.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,African & African Amer Studies,Seminar,,FAS Letter Graded,,,,Arts and Humanities
AFRAMER 197,"Poverty, Race, and Health 001",Williams,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=273593036d5d19dc977de44cb2c97a6194678b7e8d9bb81c45520947550153fa40cfd907c76e03384c0f86f4084dfdc8&ReportType=2&regl=en-US,FAS-123435-2248-1-1-001,FAS-123435-2248-1-1-001(Williams),123435,32,38,4.72,5.0,5.0,0.5096047190685833,4.89,5.0,5.0,0.3144660377352201,4.67,4.0,3.0,2.62,4.83,5.0,5.0,0.38,0.7953166666666667,0.9547,0.9409,0.3683504453724205,0.0833333333333333,0.0,0.0,0.2886751345948128,"I think you should definitely TAKE THIS CLASSS! Even if you're not interested in medicine or healthcare, you truly learn so much in this class, as our lessons are very much applicable to things going on today. I'd consider this course a gem, to be honest, but you also gain so much from it–– especially a new mindset and perspective on the role of race in our society and how it affects everything. I feel like this should be a mandatory course regardless of your concentration plans. So many people will never learn all that we learned in the course of the semester, and I feel as though they should. Professor Williams is an amazing lecturer and he's so engaging. He's also funny and extremely passionate about the work he does. I'm so glad I took this class. The workload was way more than manageable. Your only assignments are really the three book reports due throughout the course of the semester which are only four pages long and really chill. I'm extremely glad that I took this course freshman year. In classes like these, it is easy to feel hopeless and stuck as it seems like the heartbreaking issues we learn about can't simply be fixed by us. However, Professor Williams would usually end lectures with positive statements about what we CAN do and inspiring stories from successful reform initiatives.",0.9959,"There is not a lot of engagement in lectures, but you can get that with section",-0.1877,"I think you should definitely TAKE THIS CLASSS! Even if you're not interested in medicine or healthcare, you truly learn so much in this class, as our lessons are very much applicable to things going on today. I'd consider this course a gem, to be honest, but you also gain so much from it–– especially a new mindset and perspective on the role of race in our society and how it affects everything. I feel like this should be a mandatory course regardless of your concentration plans. So many people will never learn all that we learned in the course of the semester, and I feel as though they should. Professor Williams is an amazing lecturer and he's so engaging. He's also funny and extremely passionate about the work he does. I'm so glad I took this class. The workload was way more than manageable. Your only assignments are really the three book reports due throughout the course of the semester which are only four pages long and really chill. I'm extremely glad that I took this course freshman year. In classes like these, it is easy to feel hopeless and stuck as it seems like the heartbreaking issues we learn about can't simply be fixed by us. However, Professor Williams would usually end lectures with positive statements about what we CAN do and inspiring stories from successful reform initiatives.",0.9959,"Poverty, Race, and Health",AFRAMER  197,David Williams,2025 Fall,Full Term,2025-09-02,2025-12-03,12:45pm,2:45pm,Tue,13718,No Consent,0,0,False,False,True,False,False,False,False,"This course critically examines the health status of the poor, and of African Americans and other socially disadvantaged racial and ethnic groups in the US. Attention will be focused on the patterned ways in which the health of these groups is embedded in the social, cultural, political, and economic contexts, and arrangements of US society. Topics covered include the meaning and measurement of race, the ways in which racism affects health, the historic uses of minorities in medical research, how acculturation and migration affects health, and an examination of the specific health problems that disproportionately affect nondominant racial groups.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,African & African Amer Studies,Lecture,,FAS Letter Graded,Course open to Undergraduate Students Only,,,Social Sciences
AMHARIC 101AR,Advanced Amharic 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=200cf1a6ca48bdd31dd94c2ec7022d9eb1a4aae6b7d70ed76ab2db2c49e9a6ddcfe81f2ef533b5c74a24718c32519f39&ReportType=2&regl=en-US,FAS-205845-2248-1-1-001,FAS-205845-2248-1-1-001(Mugane),205845,5,6,4.75,5.0,5.0,0.4351941398892446,0.0,0.0,0.0,-1.0,2.67,3.0,3.0,0.58,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,Advanced Amharic,AMHARIC  101AR,John Mugane,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,13873,Department,0/15,0,False,False,False,False,False,False,False,"A study of Amharic the statutory national language and major lingua franca of Ethiopia at the Advanced level in the Fall semester. As needed, successive advanced readings in Amharic may be taken under Amharic 101ar every Fall.","Languages in the tutorial program are offered when there is demonstrated curricular or academic need on the part of the student, and when suitable instruction can be arranged.  Please contact the department to learn more.",Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,African & African Amer Studies,Seminar,,FAS Letter Graded,,,,Arts and Humanities
IGBO AA,Elementary Igbo 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0a67a5943645afc00b330a63e113666204095a050c21297723c8dc8246fb8471ca7db23c89ffde9c502882bf25c5de19&ReportType=2&regl=en-US,FAS-126308-2248-1-1-001,FAS-126308-2248-1-1-001(Mugane),126308,6,9,4.0,4.0,3.0,0.8206518066482898,0.0,0.0,0.0,-1.0,5.5,4.5,4.0,2.35,4.4,4.0,4.0,0.55,0.50245,0.76905,0.8481,0.620971327840505,0.0,0.0,0.0,0.0,"this class is fun and you definitely get what you put in. onyenkuzi (the professor) is very open and responsive to helping you learn the language and more about the culture. could be frustrating  at times, but ultimately love this class (and my parents do too!).",0.8916,Approach everything with an open mind and don't be afraid of mistakes!,-0.4199,,0.0,Elementary Igbo,IGBO     AA,John Mugane,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,12357,Department,0/15,0,False,False,False,False,False,False,False,"A study of Igbo one of the three most widely spoken languages in Nigeria at the Elementary level (First year part 1). Contact hours supplemented by digital resources. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to complete both terms of this course (parts AA and AB) within the same academic year.","Languages in the tutorial program are offered when there is demonstrated curricular or academic need on the part of the student, and when suitable instruction can be arranged.  Please contact the department to learn more.",Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,African & African Amer Studies,Seminar,,FAS Letter Graded,,,,None
SWAHILI 101AR,Reading in Swahili 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f7b432ed98e79f5a27871b86beaf4eaf0dd263854f0f5300d91bfd5a2480df7ebd838a27164cda98d72798447d1fc6b5&ReportType=2&regl=en-US,FAS-119820-2248-1-1-001,FAS-119820-2248-1-1-001(Mugane),119820,6,7,5.0,5.0,5.0,0.0,0.0,0.0,0.0,-1.0,4.0,3.0,8.0,3.61,5.0,5.0,5.0,0.0,0.8356,0.8356,0.8356,-1.0,0.0,0.0,0.0,-1.0,Please take this class. Bi Mmari is such a wonderful professor and this class helps you keep in touch with everything in East Africa and the wider Swahili world. You'll learn a lot in this class!,0.8356,,0.0,,0.0,Reading in Swahili,SWAHILI  101AR,John Mugane,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,11081,Department,0/12,0,False,False,False,False,False,False,False,Advanced reading in Swahili.,"Languages in the tutorial program are offered when there is demonstrated curricular or academic need on the part of the student, and when suitable instruction can be arranged.  Please contact the department to learn more.",Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,African & African Amer Studies,Seminar,,FAS Letter Graded,,,,Arts and Humanities
ZULU AA,Elementary Zulu 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=35cfb3717587fee3ed3f320aeb3586531cac0acfc84ca21deb292ba0b44b4c3a910de9180aabe8ba3bf64669537f39f9&ReportType=2&regl=en-US,FAS-126316-2248-1-1-001,FAS-126316-2248-1-1-001(Mugane),126316,25,35,4.82,5.0,5.0,0.5199067515459194,0.0,0.0,0.0,-1.0,4.65,3.0,2.0,4.4,4.88,5.0,5.0,0.33,0.7165909090909091,0.7412,0.0,0.2860636937975368,0.0,0.0,0.0,0.0,"I LOVE LOVE LOVE Ntuli. She is the best professor I've ever had. She genuinely has so much love for each and every student. She wants to see everyone succeed and will do anything to help out a student struggling. Although the language itself is a little confusing, she tries her absolute best to make sure we are learning it. She also doesn't put too high of expectations on her students and always makes sure we are trying our very hardest, even if that isn't necessarily translating to perfect scores. Please take this course and try and get Ntuli as your professor. BEST LANGUAGE AT HARVARD.",0.9935,,0.0,,0.0,Elementary Zulu,ZULU     AA,John Mugane,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,12359,Department,0/36,0,False,False,False,False,False,False,False,"A study of Zulu a major language spoken in South Africa at the Elementary level (First year part 1). Contact hours supplemented by digital resources. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly enrcouraged to complete both terms of this course (parts AA and AB) within the same academic year.","Languages are offered when there is demonstrated curricular or academic need on the part of the student, and when suitable instruction can be arranged.  Please contact the department to learn more.",Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,African & African Amer Studies,Seminar,,FAS Letter Graded,,,,None
ANTHRO 98A,Junior Tutorial in Anthropology 001,Khaira,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=8ccf946d7ed2c18a8c73b2b276242ee94931aea3e662439834be6bba4a4bbbd7640c117768702e2594fbb21d77e9974a&ReportType=2&regl=en-US,FAS-205494-2248-1-1-001,FAS-205494-2248-1-1-001(Khaira),205494,12,15,4.5,5.0,5.0,0.674199862463242,4.7,5.0,5.0,0.6435381994422819,4.5,4.0,6.0,1.35,4.75,5.0,5.0,0.46,0.8665166666666667,0.94245,0.9257,0.193208047623971,0.0,0.0,0.0,0.0,"Of course, this tutorial is a required course for the anthropology concentration, but I think it was an almost exclusively enjoyable experience! It's probably one of the least arduous junior tutorials, and it's definitely much less taxing than sophomore tutorial. This course is critical for expanding your view of anthropologists' roles and for planning your senior thesis (whether or not that's something you're sure you'd like to do). It's also a really enjoyable class due to the strong support system, including both course staff and the rest of your cohort.",0.9718,,0.0,,0.0,Junior Tutorial in Anthropology,ANTHRO   98A,Damina Khaira,2025 Fall,Full Term,2025-09-02,2025-12-03,12:00pm,1:15pm,Mon,12323,Instructor,0,0,False,True,False,False,False,False,False,"ANTHRO 98a is a research design course: geared towards guiding and developing an anthropological research project that you are curious and passionate about. We will read, discuss and consider case studies that reflect lived experiences from diverse communities and contexts across a variety of topics and frameworks within the discipline. As we walk through on-the- ground and recorded examples of ethnographic/ archaeological research, we will explore and compare different approaches in identifying research problems, conducting research, and writing anthropologically. We will also read latest works produced by departmental faculty, including your Tutor, to get a sense of the range of topics, questions, and new methods that are possible in anthropological research. This course also offers you a space to then apply what you have learned through designing your projects and sharing your research goals, experiences, and components of your emerging work with peers for feedback. Through structured assignments, seminar workshops, discussions with invited faculty and regular individual meetings with instructors, you will produce an original anthropological essay based on your research over the course of the semester. In short, this course will arm you with the critical tools to start thinking about your own independent research project. Please note that the research project you start to brainstorm in this course does not have to be your Senior Thesis project. In other words, your chosen research topic for this semester is only for the purposes of this course, and you are not confined to this research topic beyond this semester, although you can certainly continue to pursue this same research topic. As part of this course, you will be asked to reach out to at least one departmental faculty member to discuss the direction and feasibility of your research ideas. Please note that this course has a weekly 1.5 hour course meeting that is complemented with 1 hour tutorial/section meetings with your Tutor.",Required of all concentrators in Anthropology.,Faculty of Arts & Sciences,4,Not Available for Cross Registration,Anthropology,Tutorial,,FAS Letter Graded,,,,Social Sciences
ANTHRO 1610,Ethnographic Research Methods 001,Fierman,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=70411bb9882639937ff333b8979e43df5a35ed2f80eec058cfda206394ad208fe71a669068d06aa2f785ecf0363956a7&ReportType=2&regl=en-US,FAS-119379-2248-1-1-001,FAS-119379-2248-1-1-001(Fierman),119379,9,11,4.67,5.0,5.0,0.6674994798166929,5.0,5.0,5.0,0.0,7.11,5.0,5.0,4.43,4.67,5.0,5.0,0.71,0.8689625,0.86875,0.9829,0.0767386648214016,0.0,0.0,0.0,0.0,"TAKE THIS COURSE!!! If you have any interest in Anthro, take this class, especially if it's with Dr. Fierman. She is incredible, and the course is amazing. You won't find yourself completing assignments just to do them, but instead, you will inevitably gain a deeper understanding of the topic. The mini–ethnography project is truly so fun and worthwhile. There is a lot of reading, but you will figure out how to manage it, and you will gain so much from this class.",0.9829,,0.0,,0.0,Ethnographic Research Methods,ANTHRO 1610,,2025 Fall,Full Term,2025-09-02,2025-12-03,12:00pm,2:45pm,Thu,10988,Instructor,0,0,False,False,False,False,True,False,False,"Anthropology is defined by its unique approach to the study of human subjects through what we call “ethnographic methods.” This course, required for undergraduate anthropology concentrators at Harvard, will use the genre of ethnography (texts—written, visual, etc—produced by anthropologists) to discover how anthropologists have approached various social phenomena throughout the history of the discipline. In doing so, we grapple with the legacy of anthropology’s colonial past to understand questions of power and knowledge production in social anthropological thought. The texts chosen for this course both give insight into the history of the discipline and the wide variety of human (and non-human) existence that anthropologists have written about, with particular attention to pressing ethical questions in contemporary debates in social anthropology. Additionally, the texts chosen represent a variety of writing styles, theoretical approaches, and worldviews that introduce you to the exciting breadth of this ambitious discipline, which strives to give a holistic analysis of what it means to be human. The course consists of one lecture/seminar meeting a week plus a required section with a Teaching Fellow.",Open to undergraduates only.,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Anthropology,Seminar,,FAS Letter Graded,,,,Social Sciences
APCOMP 209A,Data Science 1: Introduction to Data Science 001,Gumb,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=38706e10f84db7be75c295eda275ceb85d31de6ddd983b5651774a6c054afb34b7b7165997bb13193cdd423d1a0f8a4e&ReportType=2&regl=en-US,FAS-109898-2248-1-1-001,FAS-109898-2248-1-1-001(Gumb),109898,339,450,3.86,4.0,4.0,1.0015644328406,4.46,5.0,5.0,0.94072959488179,9.52,10.0,10.0,4.21,3.89,4.0,4.0,0.92,0.6107113821138211,0.8047,0.9272,0.4748291508451607,0.0,0.0,0.0,0.0,"CS1090a is an AMAZING course. I recommend this course with great enthusiasm to anyone interested. I was uncertain that I would take this course given my commitments and the q–guide reports stating how challenging the material was, however, I am so grateful that I chose to enroll. My background was CS50, CS20, Math 21a, AM 22a, AM50, and Stat 110. I also had experience with Pandas, Jupyter Notebook, and predictive modeling in Python (AM50). The true prerequisites ought to be CS50 or CS32 and Math 21a. Having predictive modeling (in Python), linear algebra, and probability knowledge is most certainly helpful but unnecessary to having an amazing CS1090a experience. Advantages of CS109a:0. The professors are incredible. Pavlos is a sight for sore (and heavy) eyes at 9am. Pavlos is the funniest and most engaging CS professor I have had, and he takes time to get to know each of his students. He cares for your learning, making it a truly special learning environment. Natesh is incredible in his ability to inspire students about the importance and use cases of the material. He also deeply cares about students' learning as he spends a portion of lecture time gauging students' understanding of the material.  1. The TFs are incredible. Chris and Elaine are the most supportive TF I have had at Harvard. It felt like they were always available to help with any problem or issue, whether at their OH or on Ed. 2. On that note there is incredible support. The course has multiple office hours every week, held virtually and all across campus. The Ed discussion is always active and TFs reply fairly quickly. There are some cases of egregious amount of waiting time for a response, that is usually towards the end of the semester. The amount of support gives a great opportunity to succeed in the course.3. The material itself is an incredible introduction to Data Science and machine learning. The material covered is widely applicable to other STEM topics. I noticed a significant overlap in Math 21a, AM115, and AM121 material. Additionally, there is optional extra work available on Ed which allows one to dive into greater detail into Data Science or other programming concepts. 4. Bi–weekly partner psets are so clutch. There is also a generous late day policy. Need I say more?5. The course organization is superb. Everything you need is on Ed. Except the class recordings, those are on Canvas. Things to take into account before enrolling:0. The psets are time–consuming. Whilst true in that they get easier as the semester goes on, they are still a significant time commitment. I usually took anywhere between 10–20 hours to complete a pset, and I completed all except one pset on my own. Remember, the psets are bi–weekly. So this meant spending around 1 hour or 1.5 hours a day on the pset. Procrastinating on psets in this course can be awful and cause one to fall behind. Also, some of the psets are frustrating, in that the material covered in the pset is useless to other concepts in the class (HW1web scraping) or they are incredibly vague whilst still being heavily penalized (like HW5).1. The course is fast–paced for sure. Understanding the topics completely is a demanding task, and one where one must spend significant time dedicated to the material. The content is usually iterative, so to understand future concepts, one must understand the previous concepts! I took CS109a with another relatively intense math course, and two relatively easier courses, so I was able to spend this needed time on the material. I never took a break from this class. Honestly, everyday I was doing something related to the course, whether working on my pset, going over class notes, or rewatching a lecture. The time commitment only grows as the semester goes on. Sure, the psets may get a little easier but the project demands get harder. The content also gets more challenging. The end of the semester during Thanksgiving break and after is like all cylinders firing, with the lectures/project/exam/final psets. So, really, there is no break from CS109a. As a final word, I genuinely think this class is amazing. It certainly beats CS50 and CS20 for me in terms of material covered, the use cases of the material, and enjoyment. Take this class and don't look back!",0.9993,"Pavlos is great and it's easy to tell that he cares a lot. It's also a very practical CS class and you do learn quite a bit job–skills wise if that's what you're going for.That is where my compliments end. This course was disorganized from start to finish. The course is largely on Ed, but some assignments and grades are on Canvas, and some important information is on Ed discussion. You can tell how confusing this gets when there are 3 different sources of info, which is why many students just did not know a lot of info logistics–wise. This course either needs more TFs or it needs better TFs. There were multiple project groups that needed to contact their TF yet couldn't reach them.  During our final project presentation review, the TF, who is supposed tell us how to make our presentation better (which is a huge % of our grade),  was on their phone the whole time and told us ""you guys did a great job"" as the only criticism despite us going 8 minutes over the time limit.There is also very limited feedback on the projects and the homework depending on which TF you have assigned, which makes it very hard to know whether you're on track or not in the course.My final note to the faculty for this course is that if you are worried enough about cheating and ChatGPT that you openly chastise your class for 10 minutes during lecture using various scare–tactics, then you should not create a testing environment that makes it easy for students to cheat (i.e do not let the coding part be take–home.) Regardless, I still heard about many instances of students openly cheating during the quiz part of the midterms which is disheartening. There can easily be a situation in this class where student A barely attended lectures, cheated on the midterms/assignments, and was still able to attain an A due to lax TF–ing, while student B ends up with an A– because they tried to do this class the right way yet got a harsher TF, inadequate feedback, and underperformed on midterms due to an inflated curve.",-0.958,,0.0,Data Science 1: Introduction to Data Science,APCOMP  209A,"Pavlos Protopapas, Kevin A. Rader",2025 Fall,Full Term,2025-09-02,2025-12-03,9:00am,10:15am,Mon Wed Fri,12690,No Consent,0,0,False,True,False,True,False,True,False,"Data Science 1 is the first half of a one-year introduction to data science. The course will focus on the analysis of messy, real life data to perform predictions using statistical and machine learning methods. Material covered will integrate the five key facets of an investigation using data: (1) data collection - data wrangling, cleaning, and sampling to get a suitable data set;  (2) data management - accessing data quickly and reliably; (3) exploratory data analysis – generating hypotheses and building intuition; (4) prediction or statistical learning; and (5) communication – summarizing results through visualization, stories, and interpretable summaries. Part one of a two part series. The curriculum for this course builds throughout the academic year. Students are strongly encouraged to enroll in both the fall and spring course within the same academic year.","Only one of CS 1090a, CS 109a, AC 209a, Stat 109a, or Stat 121a can be taken for credit.",Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Applied Computation,Lecture,,FAS Letter Graded,"Not to be taken in addition to Computer Science 1090A, or Statistics 109A, or Statistics 121, or Statistics 121A.",,Yes,Science & Engineering & Applied Science
